source_sheet,excel_row,reason,raw_tree_num,species,common_name,funder,date_planted,address,raw_lat,raw_long,status_intended
Planted Log,56,missing/invalid lat/long,273,Quercus wislizeni,Interior Live Oak,CAL Fire,2023-04-19 0:00:00,"State Highway 1 @, Dairy Creek Rd",35.33156,-120.73131,Active
Planted Log,57,missing/invalid lat/long,274,Quercus wislizeni,Interior Live Oak,CAL Fire,2023-04-19 0:00:00,"State Highway 1 @, Dairy Creek Rd",35.33159,-120.73115,Active
Planted Log,189,missing species; missing common name,416,Tristania laurina Elegant ,,TBID,2024-11-16 0:00:00,"536 Marsh St, SLO",35.277192,-120.665907,Active
Planted Log,190,missing species; missing common name,417,Grevillea robusta,Silk oak,TBID,2024-11-16 0:00:00,"536 Marsh St, SLO",35.277407,-120.66603,Active
Planted Log,208,missing species; missing common name,433,Spathodea campanulata ,African Tulip,TBID,2025-02-08 0:00:00,"900 Southwood Dr, SLO",35.268318,-120.649124,Active
Planted Log,215,missing/invalid lat/long,510,Casuarina glauca,Swamp she-oak,TBID,2025-02-22 0:00:00,"11175 Los Osos Valley Rd, SLO",35.259289,-120.6956626,Active
Planted Log,216,missing/invalid lat/long,511,Eucalyptus spathulata,Swamp mallee,TBID,2025-02-22 0:00:00,"11176 Los Osos Valley Rd, SLO",35.259047,-120.6956687,Active
Planted Log,217,missing/invalid lat/long,514,Casuarina glauca,Swamp she-oak,TBID,2025-02-22 0:00:00,"11177 Los Osos Valley Rd, SLO",35.2589648,-120.6959141,Active
Planted Log,218,missing/invalid lat/long,513,Eucalyptus spathulata,Swamp mallee,TBID,2025-02-22 0:00:00,"11178 Los Osos Valley Rd, SLO",35.258477,-120.6955309,Active
Planted Log,219,missing/invalid lat/long,515,Tristaniopsis laurina,Water gum,TBID,2025-02-22 0:00:00,"11179 Los Osos Valley Rd, SLO",35.2587409,-120.6963801,Active
Planted Log,220,missing/invalid lat/long,516,Casuarina glauca,Swamp she-oak,TBID,2025-02-22 0:00:00,"11180 Los Osos Valley Rd, SLO",35.25874,-120.69638,Active
Planted Log,221,missing/invalid lat/long,521,Eucalyptus spathulata,Swamp mallee,TBID,2025-02-22 0:00:00,"11181 Los Osos Valley Rd, SLO",35.2589314,-120.6969659,Active
Planted Log,222,missing/invalid lat/long,523,Ficus microcarpa 'green gem',Green Gem Indica Fig Laurel,TBID,2025-02-22 0:00:00,"11182 Los Osos Valley Rd, SLO",35.2590897,-120.6974725,Active
Planted Log,223,missing/invalid lat/long,519,Eucalyptus robusta,Swamp mahogany,TBID,2025-02-22 0:00:00,"11183 Los Osos Valley Rd, SLO",35.2585079,-120.6971519,Active
Planted Log,224,missing/invalid lat/long,512,Eucalyptus viminalis,Manna gum,TBID,2025-02-22 0:00:00,"11184 Los Osos Valley Rd, SLO",35.258656,-120.6955721,Active
Planted Log,225,missing/invalid lat/long,520,Tristaniopsis laurina,Water gum,TBID,2025-02-22 0:00:00,"11185 Los Osos Valley Rd, SLO",35.2585079,-120.6972961,Active
Planted Log,226,missing/invalid lat/long,517,Quercus virginiana,Southern live oak,TBID,2025-02-22 0:00:00,"11186 Los Osos Valley Rd, SLO",35.2585629,-120.6966671,Active
Planted Log,227,missing/invalid lat/long,518,Eucalyptus robusta,Swamp mahogany,TBID,2025-02-22 0:00:00,"11187 Los Osos Valley Rd, SLO",35.2585109,-120.6969981,Active
Planted Log,228,missing/invalid lat/long,522,Podocarpus gracilior,African fern pine,TBID,2025-02-22 0:00:00,"11188 Los Osos Valley Rd, SLO",35.2589887,-120.6971657,Active
Planted Log,229,missing/invalid lat/long,524,Eucalyptus cneorifolia,Kangaroo Island narrow-leaf mallee,TBID,2025-04-12 0:00:00,"11189 Los Osos Valley Rd, SLO",35.2585,-120.6984642,Active
Planted Log,230,missing/invalid lat/long,525,Eucalyptus cneorifolia,Kangaroo Island narrow-leaf mallee,TBID,2025-04-12 0:00:00,"11190 Los Osos Valley Rd, SLO",35.2584507,-120.6985443,Active
Planted Log,231,missing/invalid lat/long,526,Eucalyptus ficifolia,Red-Flowering Gum,TBID,2025-04-12 0:00:00,"11191 Los Osos Valley Rd, SLO",35.2583746,-120.6985645,Active
Planted Log,232,missing/invalid lat/long,527,Chorisia speciosa,Silk floss tree,TBID,2025-04-12 0:00:00,"11192 Los Osos Valley Rd, SLO",35.258302,-120.6986007,Active
Planted Log,233,missing/invalid lat/long,536,Erythrina afra,African coral tree,TBID,2025-04-12 0:00:00,"11193 Los Osos Valley Rd, SLO",35.2582407,-120.6986479,Active
Planted Log,234,missing/invalid lat/long,537,Eucalyptus cneorifolia,Kangaroo Island narrow-leaf mallee,TBID,2025-04-12 0:00:00,"11194 Los Osos Valley Rd, SLO",35.2582133,-120.6986966,Active
Planted Log,235,missing/invalid lat/long,528,Lagunaria patersonia,Queensland white oak,TBID,2025-04-12 0:00:00,"11195 Los Osos Valley Rd, SLO",35.258218,-120.6985675,Active
Planted Log,236,missing/invalid lat/long,535,Eucalyptus tetraptera,Square-fruited mallee,TBID,2025-04-12 0:00:00,"11196 Los Osos Valley Rd, SLO",35.2581882,-120.6985975,Active
Planted Log,237,missing/invalid lat/long,529,Eucalyptus nutans,Red-flowered moort,TBID,2025-04-12 0:00:00,"11197 Los Osos Valley Rd, SLO",35.2581698,-120.6985631,Active
Planted Log,238,missing/invalid lat/long,531,Brachychiton populneus,Kurrajong,TBID,2025-04-12 0:00:00,"11198 Los Osos Valley Rd, SLO",35.2579702,-120.6985024,Active
Planted Log,239,missing/invalid lat/long,530,Eucalyptus cneorifolia,Kangaroo Island narrow-leaf mallee,TBID,2025-04-12 0:00:00,"11199 Los Osos Valley Rd, SLO",35.2580721,-120.6985266,Active
Planted Log,240,missing/invalid lat/long,533,Erythrina coralloides,Naked coral tree,TBID,2025-04-12 0:00:00,"11200 Los Osos Valley Rd, SLO",35.2580485,-120.6985024,Active
Planted Log,241,missing/invalid lat/long,534,Brachychiton acerifolius,Flame bottletree,TBID,2025-04-12 0:00:00,"11201 Los Osos Valley Rd, SLO",35.258114,-120.6985621,Active
Planted Log,242,missing/invalid lat/long,532,Melaleuca nesophila,Showy honey-myrtle,TBID,2025-04-12 0:00:00,"11202 Los Osos Valley Rd, SLO",35.2579702,-120.6985601,Active
Planted Log,243,missing/invalid lat/long,538,Eucalyptus cneorifolia,Kangaroo Island narrow-leaf mallee,TBID,2025-04-18 0:00:00,"11203 Los Osos Valley Rd, SLO",35.2595816,-120.6960402,Active
Planted Log,244,missing/invalid lat/long,539,Eucalyptus cneorifolia,Kangaroo Island narrow-leaf mallee,TBID,2025-04-18 0:00:00,"11204 Los Osos Valley Rd, SLO",35.2595507,-120.6960402,Active
Off-Boarded Trees,33,missing funder,32,Agonis flexuosa,Australian Willow,City of SLO,2020-01-25 0:00:00,140 Fel-Mar Dr.,35.299167,-120.685556,Graduated
Off-Boarded Trees,34,missing funder,39,Quercus tomentella,Island Oak,City of SLO,2020-01-25 0:00:00,2391 Lawton Ave.,35.267472,-120.657028,Graduated
Off-Boarded Trees,35,missing funder,40,Quercus tomentella,Island Oak,City of SLO,2020-01-25 0:00:00,2391 Lawton Ave.,35.267444,-120.657028,Graduated
Off-Boarded Trees,36,missing funder,41,Quercus suber,Cork Oak,City of SLO,2020-02-22 0:00:00,2391 Lawton Ave.,35.2674,-120.65744,Graduated
Off-Boarded Trees,37,missing funder,42,Quercus tomentella,Island Oak,City of SLO,2020-01-25 0:00:00,850-890 Nipomo St.,35.279889,-120.667167,Graduated
Off-Boarded Trees,38,missing funder,44,Quercus tomentella,Island Oak,City of SLO,2020-01-25 0:00:00,850-890 Nipomo St.,35.280111,-120.667361,Graduated
Off-Boarded Trees,39,missing funder,45,Quercus tomentella,Island Oak,City of SLO,2020-01-25 0:00:00,850-890 Nipomo St.,35.280167,-120.667417,Graduated
Off-Boarded Trees,40,missing funder,46,Agonis flexuosa,Australian Willow,ReLeaf,2020-01-25 0:00:00,600 block Mutsuhito Ave,35.263556,-120.651167,Graduated
Off-Boarded Trees,41,missing funder,47,Agonis flexuosa,Australian Willow,ReLeaf,2020-01-25 0:00:00,600 block Mutsuhito Ave,35.263611,-120.651083,Graduated
Off-Boarded Trees,44,missing funder,50,Pistacia chinensis,Chinese Pistache,ReLeaf,2020-06-22 0:00:00,1375 Balboa St,35.26183,-120.69044,Graduated
Off-Boarded Trees,45,missing funder,51,Pistacia chinensis,Chinese Pistache,ReLeaf,2020-06-22 0:00:00,1375 Balboa St,35.26182,-120.690439,Graduated
Off-Boarded Trees,48,missing funder,54,Quercus agrifolia,Coast Live Oak,ReLeaf,2020-02-29 0:00:00,"UU Church, 2201 Lawton Ave",35.269389,-120.657639,Graduated
Off-Boarded Trees,49,missing funder,55,Quercus agrifolia,Coast Live Oak,ReLeaf,2020-02-29 0:00:00,"UU Church, 2201 Lawton Ave",35.269389,-120.657583,Graduated
Off-Boarded Trees,50,missing funder,56,Pistacia chinensis,Chinese Pistache,City of SLO,2020-02-29 0:00:00,610 Funston Ave,35.268611,-120.656861,Graduated
Off-Boarded Trees,51,missing funder,57,Pistacia chinensis,Chinese Pistache,City of SLO,2020-02-29 0:00:00,610 Funston Ave,35.268556,-120.656861,Graduated
Off-Boarded Trees,52,missing funder,58,Pistacia chinensis,Chinese Pistache,City of SLO,2020-02-29 0:00:00,610 Funston Ave,35.268528,-120.656833,Graduated
Off-Boarded Trees,53,missing funder,59,Quercus engelmannii,Engelmann Oak,City of SLO,2020-02-29 0:00:00,2509 Lawton Ave,35.266333,-120.657306,Graduated
Off-Boarded Trees,54,missing funder,60,Agonis flexuosa,Australian Willow,City of SLO,2020-02-29 0:00:00,2509 Lawton Ave,35.266333,-120.657139,Graduated
Off-Boarded Trees,55,missing funder,61,Agonis flexuosa,Australian Willow,City of SLO,2020-02-29 0:00:00,2509 Lawton Ave,35.266333,-120.657056,Graduated
Off-Boarded Trees,56,missing funder,62,Agonis flexuosa,Australian Willow,City of SLO,2020-02-29 0:00:00,2509 Lawton Ave,35.26625,-120.657,Graduated
Off-Boarded Trees,57,missing funder,63,Agonis flexuosa,Australian Willow,City of SLO,2020-02-29 0:00:00,2509 Lawton Ave,35.266222,-120.657,Graduated
Off-Boarded Trees,58,missing funder,64,Quercus engelmannii,Engelmann Oak,City of SLO,2020-02-29 0:00:00,2511 Lawton Ave,35.266111,-120.657,Graduated
Off-Boarded Trees,59,missing funder,65,Pistacia chinensis,Chinese Pistache,City of SLO,2020-02-29 0:00:00,503 Mitchell Dr,35.264972,-120.656194,Graduated
Off-Boarded Trees,60,missing funder,66,Pistacia chinensis,Chinese Pistache,City of SLO,2020-02-29 0:00:00,503 Mitchell Dr,35.264972,-120.656139,Graduated
Off-Boarded Trees,61,missing funder,67,Pistacia chinensis,Chinese Pistache,City of SLO,2020-02-29 0:00:00,503 Mitchell Dr,35.264972,-120.656083,Graduated
