ecoslo_num,status,species_name,common_name,funder,date_planted,address,latitude,longitude,is_public,condition,notes
1,Graduated,Pistacia chinensis,Chinese Pistache,City of SLO,2019-10-19,1353 Pacific St.,35.282861,-120.654222,true,good,"Across street from Matt.  Tree is fine and well taken care of.

ReLeaf #: RL1
Stock size: 24"" box
Neighborhood: Mill
Census tract: 6079011101
Low income: Yes
Planting area: 3' x 10'
Distance to nearest building: 0-20 ft.
Tagged: No
Mulched Jan 2023: Yes
Immediate needs: Matt's got it"
2,Graduated,Ulmus parvifolia ‘Drake’,Chinese Elm,ReLeaf,2019-10-19,1266 Monterey St.,35.28447,-120.657461,true,good,"Adopted by Ray, previously Vern Ludwick

ReLeaf #: RL2
Stock size: 15 gallon
Neighborhood: Mill
Census tract: 6079011101
Low income: Yes
Planting area: 5' x 5'
Distance to nearest building: 0-20 ft.
Tagged: No
Mulched Jan 2023: Yes
Immediate needs: Offboarding"
3,Graduated,Ulmus parvifolia ‘Drake’,Chinese Elm,ReLeaf,2019-10-19,1248 Monterey St.,35.284083,-120.657667,true,good,"Friends of Jenn.  Own the building next to tree.

ReLeaf #: RL3
Stock size: 15 gallon
Neighborhood: Mill
Census tract: 6079011101
Low income: Yes
Planting area: 3.5' x 3.5'
Distance to nearest building: 0-20 ft.
Tagged: No
Mulched Jan 2023: Yes
Immediate needs: Offboarding- drop off"
4,Graduated,Ulmus parvifolia ‘Drake’,Chinese Elm,ReLeaf,2019-10-26,"862 Toro St. (tree's location), 
858 Toro St. (Rick's address)",35.285,-120.659806,true,good,"04/2020 - Jenn Yost's neighbors.  She is also keeping an eye on these trees!

ReLeaf #: RL4
Stock size: 15 gallon
Neighborhood: Mill
Census tract: 6079011101
Low income: Yes
Planting area: 4.75' x 20'
Distance to nearest building: 21-40 ft.
Tagged: No
Mulched Jan 2023: Yes"
5,Graduated,Ulmus parvifolia ‘Drake’,Chinese Elm,ReLeaf,2019-10-26,1168 Mill St.,35.285,-120.660194,true,good,"04/2020 - Jenn Yost's neighbors.  She is also keeping an eye on these trees! Jenn texts this contact weekly with a watering reminder

ReLeaf #: RL5
Stock size: 15 gallon
Neighborhood: Mill
Census tract: 6079011101
Low income: Yes
Planting area: 2.5' x 16'
Distance to nearest building: 21-40 ft.
Tagged: No
Mulched Jan 2023: Yes
Immediate needs: Offboarding- drop off"
6,Graduated,Ulmus parvifolia ‘Drake’,Chinese Elm,ReLeaf,2019-10-26,1162 Mill St.,35.284889,-120.660389,true,good,"04/2020 - Jenn Yost's neighbors.  She is also keeping an eye on these trees! Jenn texts this contact weekly with a watering reminder

ReLeaf #: RL6
Stock size: 15 gallon
Neighborhood: Mill
Census tract: 6079011101
Low income: Yes
Planting area: 2.5' x 16'
Distance to nearest building: 0-20 ft.
Tagged: No
Mulched Jan 2023: Yes
Immediate needs: Offboarding-drop off"
7,Graduated,Ulmus parvifolia ‘Drake’,Chinese Elm,ReLeaf,2019-10-26,1305 Palm St.,35.285306,-120.657806,true,good,"04/2020 - Jenn Yost's neighbors.  She is also keeping an eye on these trees!

ReLeaf #: RL7
Stock size: 15 gallon
Neighborhood: Mill
Census tract: 6079011101
Low income: Yes
Planting area: 4.5' x 40'
Distance to nearest building: 0-20 ft.
Tagged: No
Mulched Jan 2023: Yes
Immediate needs: Offboarding- drop off"
8,Graduated,Ulmus parvifolia ‘Drake’,Chinese Elm,ReLeaf,2019-10-26,1390 Palm St.,35.285898,-120.656705,true,good,"Trees in this location has history of dying

ReLeaf #: RL8
Stock size: 15 gallon
Neighborhood: Mill
Census tract: 6079011101
Low income: Yes
Planting area: 5' x 47'
Distance to nearest building: 21-40 ft.
Tagged: No
Mulched Jan 2023: Yes"
9,Graduated,Ulmus parvifolia ‘Drake’,Chinese Elm,ReLeaf,2019-10-26,1390 Palm St.,35.28591,-120.656764,true,good,"Trees in this location has history of dying

ReLeaf #: RL9
Stock size: 15 gallon
Neighborhood: Mill
Census tract: 6079011101
Low income: Yes
Planting area: 5' x 47'
Distance to nearest building: 21-40 ft.
Tagged: No
Mulched Jan 2023: Yes"
10,Graduated,Ulmus parvifolia ‘Drake’,Chinese Elm,ReLeaf,2019-10-26,1390 Palm St.,35.28591,-120.656764,true,good,"Trees in this location has history of dying

ReLeaf #: RL10
Stock size: 15 gallon
Neighborhood: Mill
Census tract: 6079011101
Low income: Yes
Planting area: 5' x 46.5'
Distance to nearest building: 21-40 ft.
Tagged: No
Mulched Jan 2023: Yes"
